start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-26_16:07:01.930141,0.840090274810791,3927,25,20,10,8201.243630524532,8201.243630524532,0.0,5703.995994983165,1600.0,64.16304941692825,3956.1706351331923,0.0,16.0,84.0
2023-07-26_16:07:04.581783,0.35337233543395996,3927,25,20,10,5166.6772835605,5166.370642086726,5.934984070899662e-05,3157.412058635508,1550.0,34.73538078007972,1493.213306672328,0.0,28.000000000000004,72.0
2023-07-26_16:07:07.485033,0.3909132480621338,3927,25,20,10,4659.552209573722,4659.552209573711,0.0,3166.9963509998097,1350.0,38.82990931336061,615.4994738363871,0.0,36.0,64.0
2023-07-26_16:07:10.279622,0.5677719116210938,3927,25,20,10,4911.752029619362,4911.752029619362,0.0,2965.5668824163076,1250.0,66.5202747944815,825.0542257922996,0.0,44.0,56.00000000000001
2023-07-26_16:07:12.837754,0.34284377098083496,3927,25,20,10,4959.855928564616,4959.855928564546,0.0,3274.7115496792394,1250.0,27.311548920611656,616.6407184343149,0.0,24.0,76.0
2023-07-26_16:07:15.303693,0.34066271781921387,3927,25,20,15,4598.577210649458,4598.577210649458,0.0,3025.6537485989556,1250.0,63.7187046338796,565.0122987421905,0.0,48.0,52.0
2023-07-26_16:07:18.713171,0.706397294998169,3927,25,20,15,6115.266157195398,6115.266157195398,0.0,4105.2584411607695,1350.0,97.49626624809744,2449.687688747729,0.0,52.0,48.0
2023-07-26_16:07:21.995056,0.5470938682556152,3927,25,20,15,6444.434696453514,6444.434696453514,0.0,4261.436521547797,1450.0,70.01191008250119,690.953766135689,0.0,32.0,68.0
2023-07-26_16:07:25.677761,0.5676743984222412,3927,25,20,15,6501.721262179426,6501.721262179413,0.0,4314.644782727991,1700.0,54.29425148847562,358.45475408912733,0.0,32.0,68.0
2023-07-26_16:07:29.233663,0.7275450229644775,3927,25,20,15,6244.378810688075,6244.37881068791,2.636267689896291e-14,3963.913144118785,1450.0,57.597016167529176,541.948755996732,0.0,60.0,40.0
2023-07-26_16:07:32.594819,0.5855848789215088,3927,25,20,20,6501.06127494452,6501.06127494452,0.0,4525.625548518355,1300.0,66.09865851236442,3418.817825631936,0.0,24.0,76.0
2023-07-26_16:07:36.865817,0.9704422950744629,3927,25,20,20,7681.379114698824,7681.379114698824,0.0,5737.8213686337,1600.0,136.0071399419346,3901.9081951243134,0.0,16.0,84.0
2023-07-26_16:07:41.401204,1.0978217124938965,3927,25,20,20,8306.73306661065,8306.733066610515,1.6204350709600398e-14,5498.8129687475175,1900.0,79.98545232060174,1377.1990960004405,0.0,28.000000000000004,72.0
2023-07-26_16:07:46.978595,1.172292947769165,3927,25,20,20,7535.9234378038,7535.923437803739,0.0,5281.451620925892,1400.0,144.4713138436848,1625.2109113612591,0.0,48.0,52.0
2023-07-26_16:07:51.624499,1.030851125717163,3927,25,20,20,7732.912605618309,7732.458108538308,5.8774371725147866e-05,5410.623757374064,1350.0,105.29792520445555,689.9753514802677,0.0,40.0,56.00000000000001
2023-07-26_16:07:56.138770,1.0837957859039307,3927,25,34,10,8368.253972487308,8368.253972487213,0.0,5716.065261061,1700.0,66.66586690290877,1149.8324192460937,0.0,24.0,76.0
2023-07-26_16:07:59.041357,0.42938899993896484,3927,25,34,10,5060.80224471688,5060.80224471688,0.0,3295.260983959218,1400.0,45.765226777869884,981.7824044082494,0.0,20.0,80.0
2023-07-26_16:08:01.716636,0.3485114574432373,3927,25,34,10,5235.327388504683,5235.327388504666,0.0,3221.8858388833496,1550.0,29.614793922233407,380.49836299810806,0.0,24.0,76.0
2023-07-26_16:08:04.552617,0.533961296081543,3927,25,34,10,5095.214062190591,5095.214062190591,0.0,2980.2239089521536,1600.0,67.79605665954539,1595.1996983275149,0.0,44.0,56.00000000000001
2023-07-26_16:08:07.292744,0.4365270137786865,3927,25,34,10,4505.689605491016,4505.689605490951,0.0,2913.401532159427,1400.0,43.50947216445125,4486.391871558309,0.0,56.00000000000001,44.0
2023-07-26_16:08:10.239343,0.6393516063690186,3927,25,34,15,4924.974658300485,4924.974658300485,0.0,2877.2560201987358,1450.0,66.06207674173996,853.3686953064467,0.0,56.00000000000001,44.0
2023-07-26_16:08:14.258836,1.0508322715759277,3927,25,34,15,6033.505820729126,6033.505820729126,0.0,3976.4890987393665,1550.0,59.7200386218794,2170.3975139759864,0.0,56.00000000000001,44.0
2023-07-26_16:08:18.056062,0.777620792388916,3927,25,34,15,5934.922218582142,5934.922218582069,0.0,4178.0784560280645,1300.0,66.37199515013077,319.09339008472045,0.0,48.0,52.0
2023-07-26_16:08:21.851742,0.5658862590789795,3927,25,34,15,6534.767791844999,6534.7677918448135,2.8392274227894737e-14,4496.480357938112,1650.0,47.47233118925483,1933.4124971103986,0.0,20.0,76.0
2023-07-26_16:08:25.382380,0.5567641258239746,3927,25,34,15,6376.15870235163,6376.158702351623,0.0,4317.310009357651,1450.0,60.255981715600655,2414.6554948692046,0.0,24.0,76.0
