start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,trans_costs_FTL,trans_costs_CES,trans_costs_LTL,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-28_19:20:36.753018,2.579584836959839,3927,75,20,10,15164.956259998247,15164.95625999823,0.0,8914.35513110796,4550.0,215.27731546555776,1661.4230130088386,2.1288511826075498e-11,7064.710000000063,1849.6451311078747,0.0,48.0,52.0
2023-07-28_19:20:43.314263,1.6844518184661865,3927,75,20,10,14921.276479319742,14921.276479319742,0.0,9103.243714961478,4750.0,107.80267044791161,2163.16360443948,0.0,7065.940000000062,2037.3037149614147,0.0,45.33333333333333,54.666666666666664
2023-07-28_19:20:49.414267,1.1865642070770264,3927,75,20,10,15722.214718185814,15722.214718185814,0.0,9330.660809165307,4499.999999999999,163.26722872396283,2043.085547321634,1.5165109147895397e-11,7068.810000000062,2261.8508091652293,0.0,22.666666666666664,77.33333333333333
2023-07-28_19:20:56.285843,2.0587942600250244,3927,75,20,10,14852.658997249135,14851.884552805031,5.214180465912839e-05,9184.793673631166,4700.0,124.73609081131819,1376.4482016703857,0.0,7068.810000000061,2115.9836736311045,0.0,36.0,64.0
2023-07-28_19:21:02.458897,1.1820785999298096,3927,75,20,10,16243.609215869144,16243.609215868903,1.4893585991668062e-14,9393.956051941313,5300.0,170.54659034528797,1234.9906910550549,7.480471126031313e-12,7066.760000000062,2327.196051941245,0.0,33.33333333333333,66.66666666666666
2023-07-28_19:21:14.105472,4.99343466758728,3927,75,20,15,18231.348894048566,18231.348894048566,0.0,13015.06821823325,4300.0,229.12068126171354,3135.015877701145,0.0,10604.65000000017,2410.4182182330783,0.0,37.333333333333336,62.66666666666667
2023-07-28_19:21:26.151430,5.2466881275177,3927,75,20,15,19727.42058031964,19727.42058031964,0.0,12853.734119831983,5600.0,181.03715917630944,1788.8294434199818,0.0,10601.780000000172,2251.9541198318107,0.0,37.333333333333336,62.66666666666667
2023-07-28_19:21:36.695118,3.7303411960601807,3927,75,20,15,18982.71745492213,18981.021817231074,8.932534001431637e-05,12780.612128354005,4800.0,181.28934802787728,6618.559406232534,-2.547586223992294e-12,10603.830000000171,2176.782128353838,0.0,42.66666666666667,57.333333333333336
2023-07-28_19:21:49.038423,5.47784161567688,3927,75,20,15,19174.297528428873,19174.297528428873,0.0,12625.792045495318,4600.0,150.72176455817376,9679.060902463127,0.0,10603.010000000171,2022.7820454951463,0.0,46.666666666666664,53.333333333333336
2023-07-28_19:21:59.994410,4.1279308795928955,3927,75,20,15,18799.254220426323,18799.254220426323,0.0,12584.424958201631,4500.0,232.73358562939262,3297.5272515024167,3.672627928232412e-11,10604.65000000017,1979.7749582014233,0.0,40.0,60.0
2023-07-28_19:22:11.120162,2.6147637367248535,3927,75,20,20,23752.87385688429,23752.87385688429,0.0,16701.199053789187,5200.0,217.2678147450015,8304.51057005859,-2.050114264979908e-12,14140.90000000028,2560.29905378891,0.0,22.666666666666664,77.33333333333333
2023-07-28_19:22:35.629079,15.704066514968872,3927,75,20,20,21934.28861227288,21934.288612272707,7.961187427920298e-15,15604.499932071194,4600.0,371.35973160646324,2899.395964010924,4.4610522834908e-12,14136.800000000281,1467.6999320709074,0.0,57.333333333333336,42.66666666666667
