start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-27_18:24:42.308746,1.2771897315979004,3927,50,10,20,12486.536004563202,12486.536004563202,0.0,8500.871860527172,3150.0,162.2745328079155,3123.7941764662132,0.0,38.0,57.99999999999999
2023-07-27_18:24:50.198721,2.328904628753662,3927,50,10,20,15459.852291162646,15459.852291162646,0.0,10774.931009628568,3000.0,153.5614294501051,7252.0912622285905,0.0,42.0,57.99999999999999
2023-07-27_18:24:57.937471,2.139162540435791,3927,50,10,20,15223.427214148594,15223.211193893325,1.4189988379802713e-05,11293.367179001458,3000.0,273.7718314811373,10965.42040725408,0.0,24.0,72.0
2023-07-27_18:25:05.983721,2.4754748344421387,3927,50,10,20,14922.88968548625,14922.889685486243,0.0,10986.118285809194,3250.0,241.04495190514348,3457.2747395362157,0.0,44.0,54.0
2023-07-27_18:25:14.583324,2.989511251449585,3927,50,10,20,15502.643066642315,15502.643066642315,0.0,10955.326565997322,3100.0,189.17477647057507,2022.6697973899527,0.0,32.0,68.0
2023-07-27_18:25:25.586152,5.360188007354736,3927,50,20,10,15252.313237754883,15252.31323775483,0.0,10574.172269846375,3700.0,231.18261318257123,3501.0415316559865,0.0,50.0,50.0
2023-07-27_18:25:30.325945,0.9453811645507812,3927,50,20,10,10358.853405153402,10358.853405153402,0.0,6382.267513321773,2899.999989272019,84.19783566505996,1499.6910435980774,0.0,26.0,74.0
2023-07-27_18:25:35.067101,1.1960258483886719,3927,50,20,10,9431.090054955675,9430.879741781044,2.2299985834739578e-05,6041.07169830344,2700.0,113.13521666159494,2145.4199377875398,0.0,44.0,56.00000000000001
2023-07-27_18:25:40.098870,1.4328718185424805,3927,50,20,10,9786.820212634593,9786.475887299559,3.5182554451108665e-05,5640.02615325612,3150.0,96.70272846753413,1118.5171567916573,0.0,56.00000000000001,44.0
2023-07-27_18:25:44.452428,0.7915561199188232,3927,50,20,10,9975.087462494253,9974.678505554055,4.09978300176519e-05,5948.544776212045,3150.0,96.7263036388927,1695.7032447286417,0.0,46.0,54.0
2023-07-27_18:25:48.969720,0.851142406463623,3927,50,20,15,9211.61825925291,9211.61633310689,2.09099635480579e-07,5849.405089890209,2749.9999969230767,89.76942506523591,4038.9544473077385,0.0,48.0,52.0
2023-07-27_18:25:55.150357,1.423253059387207,3927,50,20,15,12453.230212743028,12453.230212743028,0.0,8582.020834010787,3100.0,72.82224795038589,5486.596266123083,0.0,36.0,62.0
2023-07-27_18:26:01.519754,1.50773024559021,3927,50,20,15,13076.86992439611,13076.869924395989,9.180583834519606e-15,8433.667219697516,2900.0,97.41691098003672,1210.4598775210554,0.0,32.0,66.0
2023-07-27_18:26:08.721348,2.342790365219116,3927,50,20,15,12544.231340729555,12544.231340729555,0.0,8319.97633337299,3250.0,144.60424453736888,2335.3062972760054,0.0,52.0,48.0
2023-07-27_18:26:14.835386,1.2585656642913818,3927,50,20,15,12830.179229207744,12830.179229207744,0.0,8689.613090125908,3100.0,221.40573083421597,2458.9020991074926,0.0,34.0,66.0
2023-07-27_18:26:21.768168,2.0259737968444824,3927,50,20,20,13346.414820098618,13346.414820098618,0.0,8598.911741560845,3150.0,113.90879885356603,3158.9852861592703,0.0,32.0,68.0
2023-07-27_18:26:30.927645,3.176121473312378,3927,50,20,20,15586.13665662435,15586.136656624265,0.0,10954.204165997906,3300.0,132.9971566090867,2485.0964837253496,0.0,34.0,66.0
